State,Shootings per 100k,Count of Shootings,Victim Age,Population in 10k,Firearms per 10k,Crime Index per 10k,Police Expenditure as a fraction of Total,Population Density,Population Diversity Index
RI,0.17 (0.04),2 (0.422),30.8 (17.49),105.6812 (0.0622),44.05,556.82 (243.45),0.041 (0.0002),1023.11,0.45
SC,0.31 (0.069),16 (3.3),40.21 (13.84),502.5089 (11.1099),197.67,1138.43 (594.39),0.03 (0.0005),170.23,0.52
SD,0.36 (0.082),3 (0.697),35.44 (9.62),87.2097 (1.3411),357.08,727.54 (274.8),0.029 (0.0004),11.69,0.31
TN,0.37 (0.087),25 (6.007),38.91 (12.97),672.8293 (9.4336),180.08,958.78 (483.93),0.041 (0.0011),165.07,0.42
TX,0.31 (0.058),88 (16.03),35.35 (12.17),2810.4758 (58.88),258.2,755.13 (269.87),0.036 (0.0002),110.59,0.65
UT,0.35 (0.131),11 (4.21),34.14 (10.14),309.9797 (9.0703),301.69,890.6 (626.86),0.029 (0.0012),38.85,0.37
VA,0.21 (0.054),17 (4.519),36.82 (14.16),846.4853 (7.6511),421.73,661.12 (280.43),0.034 (0.0004),216.46,0.57
VT,0.34 (0.125),2 (0.782),44.67 (16.32),62.4173 (0.0477),123.62,592.41 (141.4),0.03 (0.001),67.9,0.14
WA,0.36 (0.096),27 (7.296),39.15 (12.26),737.8278 (16.4893),162.49,1234.07 (619.33),0.029 (0.0012),114.38,0.5
WI,0.29 (0.082),17 (4.724),36.75 (12.82),579.2315 (2.6352),137.49,740.16 (332.67),0.036 (0.0011),107.53,0.33
WV,0.6 (0.129),11 (2.315),42.84 (14.73),181.6404 (1.9079),229.33,843.89 (572.67),0.024 (0.0001),74.76,0.15
WY,0.71 (0.333),4 (1.956),39.86 (10.65),58.2157 (0.3774),2302.73,553.77 (131.33),0.025 (0.0002),5.9,0.28
US,1.91 (1.06),105.94 (131.35),37 (13),2132.5446 (1514.7346),174.35 (118.82),759.93 (358.26),0.0396 (0.0065),228.21 (432.22),0.59 (0.12)
